"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.894520269E0,-4.350000024E-1,2.649999857E-1,2.000000095E-3,5.093662675E-1
2.904257158E0,-6.140000224E-1,4.110000134E-1,6.700000167E-2,7.418935495E-1
2.913994006E0,-7.720000148E-1,5.640000105E-1,1.150000021E-1,9.629667882E-1
2.923730908E0,-8.849999905E-1,7.260000110E-1,1.609999985E-1,1.155950690E0
2.933467831E0,-9.509999752E-1,8.740000129E-1,2.060000002E-1,1.307942268E0
2.943204526E0,-9.399999976E-1,9.710000157E-1,1.809999943E-1,1.363525586E0
2.952941428E0,-8.870000243E-1,1.034000039E0,1.580000073E-1,1.371455113E0
2.962678365E0,-8.569999933E-1,1.085000038E0,1.589999944E-1,1.391745332E0
2.972415288E0,-9.070000052E-1,1.180999994E0,1.809999943E-1,1.500056997E0
2.982152117E0,-9.860000014E-1,1.274000049E0,2.259999961E-1,1.626760008E0
2.991889038E0,-1.062999964E0,1.340999961E0,2.930000126E-1,1.736116017E0
3.001625961E0,-1.139999986E0,1.391000032E0,3.269999921E-1,1.827952421E0
3.011362885E0,-1.159999967E0,1.414999962E0,3.549999893E-1,1.863826657E0
3.021099564E0,-1.133999944E0,1.416000009E0,3.540000021E-1,1.848331112E0
