"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.911122556E0,2.119999975E-1,-2.709999979E-1,-8.399000168E0,8.406044778E0
2.920860109E0,1.430000067E-1,-4.659999907E-1,-8.473999977E0,8.488008047E0
2.930597905E0,-1.679999977E-1,-8.249999881E-1,-8.258000374E0,8.300808343E0
2.940335751E0,-1.146999955E0,-1.055999994E0,-7.894000053E0,8.046488783E0
2.950073353E0,-8.280000091E-1,-1.865000010E0,-7.758999825E0,8.022835367E0
2.959810892E0,-1.636000037E0,-2.141999960E0,-7.495999813E0,7.965844158E0
2.969548674E0,-1.860999942E0,-2.438999891E0,-6.934000015E0,7.582374131E0
2.979286292E0,-1.843999982E0,-3.023000002E0,-6.545000076E0,7.441497896E0
2.989024044E0,-1.682000041E0,-3.516999960E0,-6.342000008E0,7.444419182E0
2.998761661E0,-1.271000028E0,-3.917000055E0,-6.169000149E0,7.417202528E0
3.008499443E0,-8.569999933E-1,-4.170000076E0,-6.189000130E0,7.511795540E0
3.018237060E0,-3.980000019E-1,-4.239999771E0,-6.127999783E0,7.462464968E0
3.027974827E0,3.619999886E-1,-4.295000076E0,-5.714000225E0,7.157364614E0
3.037712445E0,1.480999947E0,-4.632999897E0,-4.818999767E0,6.846956086E0
3.047450198E0,2.276999950E0,-4.552000046E0,-3.971999884E0,6.456176598E0
3.057187815E0,2.831000090E0,-4.109000206E0,-2.821000099E0,5.732057725E0
3.066925597E0,3.671999931E0,-4.326000214E0,-1.014999986E0,5.764380827E0
3.076663156E0,4.427999973E0,-4.859000206E0,1.134999990E0,6.671228653E0
3.086400774E0,4.743999958E0,-5.131000042E0,3.392999887E0,7.768213776E0
3.096138544E0,4.715000153E0,-5.315999985E0,5.518000126E0,8.996633129E0
